N,beta,start_id,operator_energy,energy_functional,C_NN,C_DM_z,M_beta,S_VN_site1,S_VN_avg
3,0.0,0,-0.5045698955729716,-0.25228494778648575,3.5235703244040906e-14,1.8457457784393227e-14,0.5000000000000001,-0.0,0.0
3,0.0,1,-0.5047614143517609,-0.25238070717588057,-1.0542492804669715e-14,-6.587323279442596e-15,0.49999999999999994,1.6017132519074586e-16,5.339044173024862e-17
3,0.0,2,-0.5041813760974436,-0.25209068804872176,-2.6638876290026775e-13,-1.4712305447991034e-13,0.5,-0.0,0.0
3,0.0,3,-0.5047556336233168,-0.2523778168116584,-2.0714911267797714e-14,-1.2906342661267445e-14,0.5,-0.0,0.0
3,0.05,0,-0.5049925883697447,-0.2669811149230434,-0.02320900981140824,-0.014481689815056542,0.49811780515834414,0.019633381927238836,0.019753043667611523
3,0.05,1,-0.5042562367842707,-0.26659384870173614,-0.023209653627779128,-0.014430636422090906,0.4981179013398989,0.019618579654854383,0.019750934947856475
3,0.05,2,-0.5047348905188811,-0.2668446394597851,-0.023197331858424843,-0.014456985435768482,0.4981197577767593,0.020122872502121112,0.019734871318048047
3,0.05,3,-0.5049667748676664,-0.2669675387818056,-0.02320902240482906,-0.014479938942925985,0.49811780980882014,0.01989440066308123,0.019752954632859716
3,0.1,0,-0.5031909297660546,-0.2837695317749931,-0.04590085558899948,-0.030292774042524746,0.49271949586202884,0.06341869890577603,0.062144835732083376
3,0.1,1,-0.5057584712113528,-0.2852024732792777,-0.045971796447609646,-0.030708207133568106,0.4926929226734478,0.06324833291436324,0.062356865375126545
3,0.1,2,-0.5058632567971995,-0.28525984003641414,-0.045967107873990644,-0.030721823517246023,0.49269419012937066,0.06200254972399674,0.062348688341448244
3,0.1,3,-0.5057452091239862,-0.28519540554146805,-0.0459733535054341,-0.030708807408963073,0.4926925124106827,0.06133700271264465,0.06235950176965952
3,0.15000000000000002,0,-0.5078630417304228,-0.30682354603180084,-0.06779416397518512,-0.048017337949108875,0.48416691504721104,0.1158464035298911,0.11734827585455869
3,0.15000000000000002,1,-0.5080627650413556,-0.3069511930988462,-0.06783946230538111,-0.048125647951961524,0.4841444435172166,0.11549507417765467,0.11748619198984256
3,0.15000000000000002,2,-0.5068568471641434,-0.3062437032241512,-0.06783232181804573,-0.04779306031548795,0.484160360141231,0.11207060480899239,0.11735630745166753
3,0.15000000000000002,3,-0.5078443338898226,-0.306816706096408,-0.06781331678251362,-0.04802398104847553,0.48415660130272187,0.116940693835781,0.11741416625933959
3,0.2,0,-0.5115723527913236,-0.3312910549589867,-0.08833851551465192,-0.0655499908474165,0.47301887274361815,0.17895063181116633,0.17901816813008606
3,0.2,1,-0.5124833500678396,-0.33183393208798084,-0.08825275791561393,-0.06590125307353624,0.4730748381549863,0.17774721322090922,0.17872391191910217
3,0.2,2,-0.512235613350432,-0.3317010062187301,-0.0883255445416969,-0.0658647399679952,0.47303079037519496,0.17753906840032582,0.17895031439215972
3,0.2,3,-0.5126547885201516,-0.3319269143002737,-0.08820334546539928,-0.0659424640934786,0.47310837428137803,0.18056514287957331,0.17854305088916134
3,0.25,0,-0.5196218134953889,-0.35949505403120363,-0.10682630017883028,-0.08331597637848094,0.46017782059598594,0.2377684673478715,0.2414483444582305
3,0.25,1,-0.5200437165415983,-0.3597373289105534,-0.10672585917083544,-0.08343747876012501,0.4602402521574238,0.2391797650651338,0.2411877086001013
3,0.25,2,-0.520373515749298,-0.3599429996296525,-0.10669043985298776,-0.08360650804779397,0.4602679983180969,0.2387210966076708,0.24105960265585247
3,0.25,3,-0.5201240012414896,-0.35979417865981655,-0.10673545493528275,-0.08350810992599474,0.46023514005737604,0.24276806433359427,0.24120672555305953
3,0.30000000000000004,0,-0.5307993635236857,-0.3900519981592118,-0.12297072601806869,-0.09994655830356114,0.44645484935728535,0.29108761569972363,0.30122719845504636
3,0.30000000000000004,1,-0.5299509733143365,-0.3895552435018686,-0.12320487260745705,-0.09964406311429853,0.44626535049554183,0.29603850020497563,0.30197585827530976
3,0.30000000000000004,2,-0.5311246525745354,-0.3902477530137107,-0.12289582833903188,-0.10007210973758036,0.4465069934879933,0.296821863309514,0.30104374109467086
3,0.30000000000000004,3,-0.5311627244615402,-0.3902748079518685,-0.12289684458006565,-0.10010366681184997,0.44650603466619715,0.2969149731783961,0.3010475204825808
3,0.35000000000000003,0,-0.5454475607530181,-0.42268334533056906,-0.13671512522958326,-0.11505062765841116,0.43259939801141906,0.3510030267596659,0.35610692143390743
3,0.35000000000000003,1,-0.5448435158357626,-0.42223185419513054,-0.1367064977503796,-0.11445258093294763,0.43258298506063025,0.35627938804435133,0.3562078916632693
3,0.35000000000000003,2,-0.5421403296013545,-0.42052260474908276,-0.13730814338520528,-0.1131352137431076,0.43218658757145895,0.3680234065035875,0.35725921633385954
3,0.35000000000000003,3,-0.5456076803779253,-0.4227741594709113,-0.13665670896095597,-0.11508971843055604,0.4326395539708972,0.35331021636566023,0.35599032994950863
3,0.4,0,-0.5634274587675677,-0.4569467493047125,-0.14809763254666228,-0.12822750625856463,0.4192774135429722,0.4083228921057778,0.40470917687302316
3,0.4,1,-0.5631895210797745,-0.45681191924622394,-0.14819768973321953,-0.1281678637003161,0.4191986701146792,0.4185460178177541,0.40492295707394876
