N,beta,start_id,operator_energy,energy_functional,C_NN,C_DM_z,M_beta,S_VN_site1,S_VN_avg
3,0.0,1,-0.5047614143517609,-0.25238070717588057,-1.0542492804669715e-14,-6.587323279442596e-15,0.49999999999999994,1.6017132519074586e-16,5.339044173024862e-17
3,0.05,0,-0.5049925883697447,-0.2669811149230434,-0.02320900981140824,-0.014481689815056542,0.49811780515834414,0.019633381927238836,0.019753043667611523
3,0.1,2,-0.5058632567971995,-0.28525984003641414,-0.045967107873990644,-0.030721823517246023,0.49269419012937066,0.06200254972399674,0.062348688341448244
3,0.15000000000000002,1,-0.5080627650413556,-0.3069511930988462,-0.06783946230538111,-0.048125647951961524,0.4841444435172166,0.11549507417765467,0.11748619198984256
3,0.2,3,-0.5126547885201516,-0.3319269143002737,-0.08820334546539928,-0.0659424640934786,0.47310837428137803,0.18056514287957331,0.17854305088916134
3,0.25,2,-0.520373515749298,-0.3599429996296525,-0.10669043985298776,-0.08360650804779397,0.4602679983180969,0.2387210966076708,0.24105960265585247
3,0.30000000000000004,3,-0.5311627244615402,-0.3902748079518685,-0.12289684458006565,-0.10010366681184997,0.44650603466619715,0.2969149731783961,0.3010475204825808
3,0.35000000000000003,3,-0.5456076803779253,-0.4227741594709113,-0.13665670896095597,-0.11508971843055604,0.4326395539708972,0.35331021636566023,0.35599032994950863
3,0.4,3,-0.5635004580066445,-0.45699907948952934,-0.1480887926891088,-0.12828879884443015,0.4192875752497108,0.4083201256775664,0.4046749418075238
3,0.45,3,-0.5844290282175578,-0.49251930653436493,-0.1574339038868993,-0.13954106745621678,0.4068568081409906,0.44104755393137085,0.4468618217309537
3,0.5,3,-0.6081708866821369,-0.5291886588818797,-0.16499817897589222,-0.14914902339089905,0.3955699786841593,0.47761988910925773,0.48286198850811807
3,0.55,0,-0.6342368220874779,-0.5667325150184929,-0.17110373656717104,-0.15726216431158543,0.38547471365241276,0.5092123109016374,0.5133899594673607
3,0.6000000000000001,1,-0.6621111097164065,-0.6048723478860626,-0.1760406782783568,-0.16401133239901036,0.37651286206127993,0.5406969893787338,0.5392999130534664
3,0.65,3,-0.6914835371184249,-0.6435110062977563,-0.1800991868168836,-0.16964455199698444,0.3685585181670956,0.5703280300430218,0.561342954734168
3,0.7000000000000001,0,-0.7224193623707231,-0.6828091740021085,-0.18334431079842484,-0.17459139818238076,0.36164326180195205,0.5822353609473347,0.5798870608032192
3,0.75,2,-0.7542576897888595,-0.722355800852297,-0.18604271659015117,-0.17876992437448566,0.35549318169506927,0.5961975260009222,0.5959179965372788
3,0.8,0,-0.7868607323387329,-0.762128252472875,-0.1883381817506333,-0.1823422864138191,0.34997910226348167,0.6119049078077691,0.6098907600298954
3,0.8500000000000001,1,-0.8178672663151401,-0.8009365407132082,-0.19422345651346604,-0.18991067486283217,0.3390787748660123,0.636997812863667,0.6364806989411516
3,0.9,2,-0.8540649120768383,-0.8423444408489229,-0.19188463541029663,-0.1880869850198675,0.34072675921296564,0.6328895139987326,0.6325680070945296
3,0.9500000000000001,1,-0.8873129347223834,-0.8821389094440594,-0.19925166877639622,-0.1973415220643774,0.3277024295604399,0.6654181907674452,0.6629248982114971
3,1.0,1,-0.9231909580084443,-0.9231909580084443,-0.23692739825968792,-0.24148745177855444,0.2619707658683195,0.795119170000991,0.7917389033711646
4,0.0,2,-0.99999773518782,-0.49999886759390993,-3.4763858458575214e-15,-1.705424538568645e-13,0.5000000000000001,-0.0,0.0
4,0.05,3,-1.0001239514472513,-0.5275309896871974,-0.02563149915350707,-0.0016275135688056516,0.4987322823458303,0.014028458913740043,0.014027715465633726
4,0.1,2,-1.0010297240512844,-0.5602497603674045,-0.05253903067958939,-0.006288517135333303,0.49485230729880747,0.046541237531548825,0.046539433785485786
4,0.15000000000000002,3,-1.0035568352994657,-0.5983341634421724,-0.08072189668615248,-0.013821558627659483,0.4882284576599146,0.09231637612419169,0.09232094563538054
4,0.2,1,-1.0083753827163087,-0.6413795574229385,-0.11022332117303911,-0.016919765902824006,0.4789336990809297,0.14738355090705477,0.14738637703312574
