N,"B_c(N,D)",k_star
3,1.6732050807568881,4.1887902047863905
4,2.0,3.141592653589793
5,1.926574044833442,3.7699111843077517
6,2.0,3.141592653589793
7,1.9877456157259306,3.5903916041026207
8,2.0,3.141592653589793
9,2.0080966494510424,3.490658503988659
10,2.0,3.141592653589793
11,2.0158394849827834,3.4271919857343196
12,2.0,3.141592653589793
13,2.0188049502835637,3.383253626942854
14,2.0,3.141592653589793
15,2.0197299388973575,3.3510321638291125
16,2.000416218984305,3.5342917352885173
17,2.0197230032472158,3.326392221448016
18,2.0080966494510424,3.490658503988659
19,2.019280221458869,3.306939635357677
20,2.012859915170143,3.455751918948772
