N,beta,start_id,operator_energy,energy_functional,C_NN,C_DM_z,M_beta,S_VN_site1,S_VN_avg
3,0.0,0,-0.6997547741594005,-0.34987738707970023,-1.4710455076283324e-15,-8.234154099303245e-16,0.5000000000000001,-0.0,0.0
3,0.0,1,-0.6997556342911714,-0.3498778171455857,2.248201624865942e-15,1.313763912473102e-15,0.5,-0.0,0.0
3,0.0,2,-0.6997214500413229,-0.3498607250206615,1.595020412044808e-14,9.39988827515966e-15,0.5000000000000001,-0.0,0.0
3,0.0,3,-0.6997555442817951,-0.34987777214089755,6.56881956236551e-16,4.163336342344337e-16,0.5000000000000001,-0.0,0.0
3,0.05,0,-0.6998585699329642,-0.36924598575533213,-0.019525664510732593,-0.012043030010839248,0.49866471791125977,0.01466734101383657,0.014675245530189238
3,0.05,1,-0.6998552058689937,-0.3692442414740314,-0.019525933013241185,-0.012043106403261136,0.4986646814978215,0.014683927231403444,0.014675591176543554
3,0.05,2,-0.6998384295607029,-0.36923528912812814,-0.01952459105847754,-0.012041726199090691,0.49866486393540826,0.014729144357350196,0.014673841439520004
3,0.05,3,-0.6998576600842624,-0.3692455072370482,-0.0195256640370132,-0.012043007162756922,0.4986647178757722,0.014664574572068392,0.014675245649068686
3,0.1,0,-0.7005708381759019,-0.39232296535125527,-0.03910724014932391,-0.025622621249637424,0.49469893803174186,0.047751879586559326,0.0477008949880404
3,0.1,1,-0.7005750014237351,-0.3923250582318649,-0.03910608894587556,-0.02562200653507195,0.4946992476508881,0.047733867088328136,0.04769856263714802
3,0.1,2,-0.7005758861157391,-0.39232552790177977,-0.03910598192616221,-0.025621970045797582,0.4946992769677228,0.04769662349497595,0.04769834151496779
3,0.1,3,-0.7005752727120051,-0.39232512920508644,-0.03910566973866252,-0.025621685907617504,0.49469936176408774,0.047656771532027076,0.04769769838775125
3,0.15000000000000002,0,-0.7025743887639675,-0.4190247839897522,-0.05843677898260333,-0.04045465589592725,0.48822612374264246,0.09241125481239498,0.0923358004415115
3,0.15000000000000002,1,-0.702580019537826,-0.41903290634110724,-0.058454568038126355,-0.040470159158854595,0.4882189892491653,0.0923563002240595,0.09238145663835355
3,0.15000000000000002,2,-0.7025843808685012,-0.41903404987084497,-0.05844942536313206,-0.04046617799485283,0.48822105750342165,0.09236921486470062,0.09236823795388703
3,0.15000000000000002,3,-0.7025813211677977,-0.41903302307900947,-0.0584522163450332,-0.04046825653896068,0.4882199367808078,0.09229285005145133,0.09237539598311373
3,0.2,0,-0.7066054590822473,-0.4492290097706674,-0.0771848652713653,-0.05617805546826079,0.4794586378873533,0.14472867864723973,0.1444693981567539
3,0.2,1,-0.7066085924745011,-0.449230781899106,-0.07718437775917475,-0.05617813126836075,0.47945888048246577,0.14456847330326228,0.14446808287754717
3,0.2,2,-0.7066093696436121,-0.449229943120415,-0.07718065408386544,-0.05617470295099918,0.4794608729943586,0.1445987190067471,0.14445696757005214
3,0.2,3,-0.7065988320818689,-0.44922462101142774,-0.07718414913445931,-0.056176049750301806,0.4794590834411338,0.14505522915431837,0.14446675624524505
3,0.25,0,-0.713369682987397,-0.4827069246014541,-0.09489942099104483,-0.07225180857315312,0.4687802324731683,0.20020380585801728,0.20047248831499895
3,0.25,1,-0.7133728954698086,-0.48270772189282063,-0.09489638431834412,-0.07224927384644211,0.4687822527847682,0.20048791177556058,0.20046251187480804
3,0.25,2,-0.7133725008440892,-0.48270801709749234,-0.09489766888606467,-0.07225055783630886,0.4687813905005224,0.20049709779492128,0.20046678457021908
3,0.25,3,-0.7133723179869627,-0.4827076688009855,-0.09489713795832279,-0.0722499556149729,0.468781748320042,0.20038247546301266,0.2004650089302578
3,0.30000000000000004,0,-0.7235171250371825,-0.5191897011094572,-0.11119184438787257,-0.08811516732132434,0.45669496981150154,0.2571059582153533,0.2572456285821324
3,0.30000000000000004,1,-0.7235168267032176,-0.5191905634218958,-0.11119403812156176,-0.0881174860730947,0.45669324181844956,0.25724735101795515,0.2572532726753298
3,0.30000000000000004,2,-0.7235188803349035,-0.5191921388069883,-0.11119432706480302,-0.08811843532627366,0.4566929689465429,0.2574616101028892,0.2572545485034845
3,0.30000000000000004,3,-0.7235188773914496,-0.5191922367485928,-0.11119451109118751,-0.08811870127254924,0.4566928045959915,0.2572570063760172,0.25725530325454543
3,0.35000000000000003,0,-0.7375217815636734,-0.5583580331682296,-0.12576158461314055,-0.1032362775883708,0.4437915818500597,0.3123195487384153,0.3122061314815347
3,0.35000000000000003,1,-0.7375211827794715,-0.5583578307252635,-0.12576199532287075,-0.10323663850661065,0.4437911866451623,0.31204417967682074,0.3122077397336332
3,0.35000000000000003,2,-0.7375207453883504,-0.5583563155217763,-0.12575985510207324,-0.10323376897322965,0.44379323662254605,0.31209591141986837,0.31219940130391516
3,0.35000000000000003,3,-0.737522002479049,-0.5583581105501113,-0.12576143231965367,-0.10323616174459471,0.4437917217764407,0.3121574338461031,0.31220557082228895
3,0.4,0,-0.7556045781999261,-0.5998486399478693,-0.1384305087818001,-0.11716917803596127,0.4306825798342871,0.36337722702411535,0.36337121858770954
3,0.4,1,-0.7556043387299004,-0.5998485299446827,-0.13843062904282907,-0.11716925765741056,0.43068245272131755,0.3634288791901866,0.36337168598397734
3,0.4,2,-0.7556043578612381,-0.5998483875515057,-0.13843038316735612,-0.1171688839355044,0.430682739429622,0.36316491403575707,0.3633705954682848
3,0.4,3,-0.7556047590742461,-0.5998486601841954,-0.13843031720290386,-0.11716897021765478,0.43068279447430163,0.3634294703637415,0.3633704126114159
3,0.45,0,-0.7777234667910305,-0.6433042322675412,-0.1491936588157645,-0.1296515717639939,0.41788812212908494,0.4095366452820207,0.4095771557083898
3,0.45,1,-0.7777211580408059,-0.6433030447096508,-0.14919462926573926,-0.12965225058672544,0.4178869886930441,0.4096320640171066,0.40958101180987044
3,0.45,2,-0.7777224772569941,-0.6433036205348,-0.14919391165212653,-0.12965163540809302,0.4178878513197017,0.40932241843772416,0.4095780547915518
3,0.45,3,-0.7777233903629543,-0.6433041861217224,-0.1491936828808464,-0.12965157354379064,0.41788810357198897,0.4096551482055165,0.40957720788497176
3,0.5,0,-0.8036130652682474,-0.6883871519661003,-0.15817712263896117,-0.14059163746828976,0.40578960710642026,0.45050273409554165,0.4503695576076157
3,0.5,1,-0.8036049676213415,-0.688382751313618,-0.15818000020372655,-0.1405948027798103,0.40578603751457704,0.45045192359558117,0.45038119337939825
3,0.5,2,-0.803611212152913,-0.6883862158627402,-0.15817788252848078,-0.14059253759933463,0.4057886363310638,0.4503623980952086,0.4503727329000044
3,0.5,3,-0.8036133233905808,-0.6883873301736445,-0.15817708976275227,-0.14059162117160925,0.4057896293978746,0.4504595582343488,0.4503694892618945
3,0.55,0,-0.8328680038750061,-0.734798607435864,-0.16559029053877378,-0.15003641249947258,0.39461321634298724,0.4858111392671311,0.48584233285963957
3,0.55,1,-0.8328649382220801,-0.7347970306946392,-0.16559164939397997,-0.150037999919256,0.3946114375334244,0.48590521131588416,0.4858478192417269
3,0.55,2,-0.8328640885856988,-0.7347965774269922,-0.16559200277964778,-0.15003839860542215,0.39461097332454004,0.48585681853818685,0.48584925460661754
3,0.55,3,-0.8328609390661077,-0.7347949801722202,-0.16559342971045213,-0.15004008951370468,0.3946090982469528,0.4858227756655289,0.48585503976346284
3,0.6000000000000001,0,-0.8650211934987457,-0.7822825289251545,-0.17167667947475118,-0.15812205286248665,0.3844491612154623,0.5163505103441213,0.5164351927831882
3,0.6000000000000001,1,-0.8650213330855985,-0.7822826306124837,-0.17167664791998083,-0.15812206051562108,0.3844492032450521,0.5164841864878101,0.5164350734158537
3,0.6000000000000001,2,-0.8648103563845086,-0.7821767352640812,-0.17178637572309516,-0.15825197164533264,0.38429909594198514,0.5168769029391498,0.5168756670379807
3,0.6000000000000001,3,-0.8649836045284636,-0.7822636931966566,-0.17169627387121864,-0.1581452832235952,0.38442236464292096,0.5163570133956453,0.5165138650767768
3,0.65,0,-0.8991211909384411,-0.8303853475648673,-0.17697383014003787,-0.16538048647833217,0.37486847070332036,0.5439390336971923,0.5439335693155695
3,0.65,1,-0.8996236571543955,-0.8306342098099768,-0.17666947720338577,-0.16501821867806718,0.3752992222262008,0.5427012075998083,0.5427238280876102
3,0.65,2,-0.8996361723402775,-0.8306404022793246,-0.17666188924157064,-0.16500917447566107,0.37530995754123486,0.5427783765170489,0.5426936428661864
3,0.65,3,-0.899631225144239,-0.8306379647541313,-0.1766649027824242,-0.16501278204033376,0.37530569164268934,0.5426669248381434,0.542705640785316
3,0.7000000000000001,0,-0.9362898559450901,-0.879699335667558,-0.18075964140371714,-0.17088045125117665,0.36713214869700955,0.5652468466460379,0.5652511461016166
3,0.7000000000000001,1,-0.9358860743159306,-0.8795005876671262,-0.18104698862264765,-0.17122300369810226,0.36671519983919865,0.5664322426116302,0.5663784294666185
3,0.7000000000000001,2,-0.9362877160574695,-0.8796982815716381,-0.18076116351575724,-0.17088226295444722,0.3671299413318039,0.56520351841699,0.565257118348935
3,0.7000000000000001,3,-0.9361282812153118,-0.8796197831482281,-0.18087458849651936,-0.17101745230990095,0.36696542360135975,0.5657913289582281,0.5657021704914966
3,0.75,0,-0.9745981193031419,-0.9293117943384843,-0.18417131949718976,-0.17593071174862684,0.35979214400533327,0.584774744917705,0.5847829087264896
3,0.75,1,-0.9745746658050134,-0.9293002678063128,-0.18419136896972144,-0.17595457922980792,0.35976255083487524,0.5848696624702567,0.5848603316604016
3,0.75,2,-0.9746269426172107,-0.9293259580665135,-0.18414667592934997,-0.17590137366275113,0.3598285135253663,0.5846898562630284,0.5846877430476679
3,0.75,3,-0.9746280342222765,-0.9293264941655307,-0.18414574204702386,-0.17590026147778293,0.3598298916692821,0.5846758071258882,0.5846841365790014
3,0.8,0,-1.0143478863180873,-0.979413139660507,-0.18697208271051044,-0.18022285103088365,0.35329442081580015,0.6015248291616538,0.6015342375627788
3,0.8,1,-1.0105190216085902,-0.9775300300856649,-0.1910591160332714,-0.1850726899162395,0.3471365904410963,0.6169682698808803,0.6169598411171806
3,0.8,2,-1.0143155537284658,-0.9793972324534509,-0.18700658530276296,-0.1802637802097369,0.3532429158489359,0.6016506317669967,0.601665050999043
3,0.8,3,-0.9752186000049676,-0.9602228451135196,-0.2288378786669708,-0.2300417852414639,0.2835380123437568,0.7537275873020154,0.7536543688368801
3,0.8500000000000001,0,-1.053668777979201,-1.0291169455936797,-0.19154789780299694,-0.18655990073825393,0.3441172339802179,0.624358463510259,0.6243682013999824
3,0.8500000000000001,1,-1.0542154707749323,-1.0293866615667193,-0.1907719401521691,-0.18564410505416595,0.34529250888372615,0.6215064066302673,0.6214964898986182
3,0.8500000000000001,2,-1.0451672146323006,-1.024924563679063,-0.2036188930507279,-0.20081335266126557,0.32526905301267356,0.6684456904423726,0.6684135903441074
