N,"B_c(N,D)",k_star
3,1.9330127018922196,4.1887902047863905
4,2.0,3.141592653589793
5,2.102909620521184,3.7699111843077517
6,2.0,3.141592653589793
7,2.117910737461198,3.5903916041026207
8,2.0606601717798214,3.9269908169872414
9,2.1107026924487426,3.490658503988659
10,2.102909620521184,3.7699111843077517
11,2.1003592520352123,3.4271919857343196
12,2.116025403784439,3.665191429188092
13,2.090599649569831,3.383253626942854
14,2.117910737461198,3.5903916041026207
15,2.102909620521184,3.7699111843077517
16,2.1152212486938318,3.5342917352885173
17,2.113433217168292,3.6959913571644627
18,2.1107026924487426,3.490658503988659
19,2.117447447725026,3.6376335988934443
20,2.105565013482627,3.455751918948772
