step,time,operator_energy,energy_functional,M_beta,C_NN,S_VN_avg
0,0.0,0.16984324841439968,0.1528589235729597,0.5,-2.6599093298311043e-17,0.0
20,0.6,0.0791514164943618,0.06600564741827872,0.47131159592450117,-0.012544044021094736,0.1845175692408545
40,1.2,-0.009460807325734958,-0.023273051412102744,0.38771277955897077,-0.04447344792347491,0.49804013409788134
60,1.7999999999999998,-0.09842259555699845,-0.11203336733511154,0.2767572226487896,-0.07699110311258954,0.7528009518523673
80,2.4,-0.19083871362430646,-0.19921383423377534,0.19973105456365792,-0.09361124934017095,0.8629884525231809
100,3.0,-0.28564345323100576,-0.28441039323645095,0.21247287197190978,-0.09621617676514023,0.8563151322676857
120,3.5999999999999996,-0.37427721309515266,-0.36625689409044654,0.21592095335121822,-0.1040532205532654,0.8465816011627988
140,4.2,-0.4499481285498317,-0.4425868351186725,0.17577615351406192,-0.12620092153115794,0.8957302059843073
160,4.8,-0.5168323598104517,-0.5118490581557543,0.16056642210184394,-0.14697299613888196,0.915188810781788
180,5.3999999999999995,-0.580520110522171,-0.5737025695392667,0.22345892729391373,-0.15547588537417947,0.8459464704633319
200,6.0,-0.6396443284612732,-0.6287709869266318,0.28677204997835043,-0.16155793332526758,0.7467455602993102
220,6.6,-0.6927703072965155,-0.6780049225128731,0.3232486285506415,-0.1712038604958195,0.6710783281455198
240,7.199999999999999,-0.7403273124070451,-0.7216715809269701,0.3479822355512943,-0.17842540966407472,0.6116072696791609
260,7.8,-0.7801185204815662,-0.7593789586164967,0.35851143914937683,-0.18247871081758607,0.5772860779586283
280,8.4,-0.8102275007058319,-0.7910426345400391,0.34348403921163956,-0.18995466891923096,0.6078305173388038
300,9.0,-0.8326360701812936,-0.8172448035187458,0.3058595427342005,-0.20330922205145843,0.6964301653935494
320,9.6,-0.8512373983097218,-0.8390034092622035,0.2676795948299135,-0.21721074883116964,0.777693036887429
340,10.2,-0.8692753092493706,-0.857385298340228,0.25647245976320415,-0.22414467743757624,0.7991039267768083
360,10.799999999999999,-0.8874545247690158,-0.8731318253315956,0.27213131858182477,-0.22277165468464713,0.7630874012451606
380,11.4,-0.9039144857021852,-0.8866734508270602,0.29062630877613543,-0.21884271188574675,0.7199568344221072
400,12.0,-0.9173139698461137,-0.8983454313008188,0.30022905142947237,-0.2164535670184727,0.7068905265935942
