step,time,operator_energy,energy_functional,M_beta,C_NN,S_VN_avg
0,0.0,-0.10667264573001936,-0.0960053811570174,0.5000000000000001,1.850371707708594e-17,0.0
20,0.6,-0.17501093938906118,-0.1683215048164298,0.44773921435490066,-0.040567559270439084,0.2913652402961561
40,1.2,-0.23249525668700038,-0.23528484579041806,0.3317795820271059,-0.10077647236703569,0.639857769935886
60,1.7999999999999998,-0.2897786227678006,-0.2956079925492731,0.2470611564842294,-0.13716312026308786,0.8076755341612688
80,2.4,-0.34571918261394696,-0.349197783721815,0.22324921376451837,-0.15124809614428744,0.8486114150869238
100,3.0,-0.3985178310828192,-0.397214594754327,0.23040172508055923,-0.15462087711511832,0.8304828579359019
120,3.5999999999999996,-0.4511001725867453,-0.440674474375974,0.2976463078093501,-0.1417165522354105,0.7171507376540337
140,4.2,-0.5008979727108659,-0.4793223475765867,0.3820748270273992,-0.11806153181777401,0.5214939232450946
160,4.8,-0.5388646097887959,-0.5125341798922795,0.4166545938736011,-0.11115807382157734,0.40985479009309805
180,5.3999999999999995,-0.5619367353973942,-0.5405262894219166,0.3845382316009049,-0.13516778368497248,0.5098317241561107
200,6.0,-0.5765813863343945,-0.5640798316767708,0.31251675708303317,-0.1736171760076105,0.6895757709202087
220,6.6,-0.5900973904465978,-0.5839020487002412,0.24926655456858215,-0.20358995816048908,0.8024292097189946
240,7.199999999999999,-0.6050532860932316,-0.6006447942802158,0.2307287440127438,-0.2171608907641284,0.8189087352401506
260,7.8,-0.6207285795170616,-0.6149838971180435,0.25039801983518617,-0.21901230262801388,0.7719013692106048
280,8.4,-0.6354102148581022,-0.6274440844163428,0.2771574369961353,-0.21691566889977607,0.707027535235952
300,9.0,-0.647475305444738,-0.638324509400542,0.2912578109949853,-0.2167757134586267,0.6656237249724931
320,9.6,-0.6565772950423364,-0.6478154456459669,0.2900313910198203,-0.22007690849192363,0.6662689072612341
340,10.2,-0.6640394487248029,-0.6560834357882733,0.2824323165309656,-0.2237025352177191,0.6868791318401589
360,10.799999999999999,-0.6715028440554445,-0.66328173274794,0.28079944096767995,-0.2237406696737696,0.6962351618763075
380,11.4,-0.6795635848481525,-0.6695688195038714,0.2898088316076742,-0.21921179122940007,0.6853692726835877
400,12.0,-0.6878023142069629,-0.6751128723427174,0.3052057286125996,-0.21202565511146385,0.6640385257779168
420,12.6,-0.6954378790484399,-0.6800585149024617,0.3199226222237796,-0.20498457175384652,0.6465719256985039
440,13.2,-0.7017999041366474,-0.6845101795800737,0.3290153224872981,-0.20021633663468333,0.641203546084132
460,13.799999999999999,-0.7066711637138013,-0.6885447012857822,0.33165145499736437,-0.19828834969718886,0.6455675940479235
480,14.399999999999999,-0.7103683469335055,-0.692215716374213,0.33061163891775996,-0.19834587409357707,0.6510842629976502
500,15.0,-0.7133743467110634,-0.6955618938901716,0.3291474892382477,-0.19939732051019665,0.6524459759430924
520,15.6,-0.7159634878391326,-0.6986400815473469,0.32802078325499623,-0.20125096082647462,0.6511205777100185
540,16.2,-0.7182462327963857,-0.7015392579928567,0.32629889691270586,-0.20403849469832103,0.6503887820336671
560,16.8,-0.7203505222488447,-0.7043413188930312,0.3236914487907321,-0.20745655305764799,0.6506431931609149
580,17.4,-0.7223789229423929,-0.7070773701358816,0.32056800673978403,-0.21094333934412335,0.6509522018474742
600,18.0,-0.7243155601404487,-0.7097332509021125,0.3167569049390411,-0.21420432837708403,0.6524038147781348
620,18.599999999999998,-0.7261319614814548,-0.7122845668600796,0.3119051375760709,-0.2171301082817747,0.6573611223143153
640,19.2,-0.7279486752138806,-0.7147166509208988,0.30684214710002095,-0.2193657190214784,0.6660768722779299
660,19.8,-0.7300211259508073,-0.7170246865484269,0.30371741874367014,-0.22024857390038774,0.6753084958767177
680,20.4,-0.732583701431808,-0.7192102711614586,0.30462589531958695,-0.21915546865687932,0.680180434913404
700,21.0,-0.7357060330160996,-0.7212767783640537,0.310168669061161,-0.21588967692324657,0.67716760644437
